input,reference_sentence,predicted_label
Black and white photo of a girl on a sofa.,a black and white photo of a cow under a tree.,A girl in a car and white horse and white and white cat horse.
A black dog stands next to materials at a construction site.,A black dog stands in the middle of a construction site.,A black dog is running through a red and a blue a purple.
Two women sitting in chairs in a shop.,Two women are sitting in a cafe.,Two dogs in a horse in the water.
A women painting a chair with a dining room in the background.,A man and boy walking along a beach with the sea in the background.,A young into a blue room.
A cat sleeping on the coach with a pillow behind it.,The cat is laying on an animal print blanket.,The girl across the water on the dirt.
Two motorbikes racing on a dirt course.,two motorbikes on a dirt track.,A close of people sitting around.
A young woman is riding a Bay hose in a dirt riding-ring.,A man is staring at a horse with a white mane.,A cat is riding a black jacket to a bike with a pot.
A gray cat laying on a brown table.,A grey cat lying on a wooden table.,A black dog runs through an and % in an.
Motorcycle parked next to a car outside.,A motorcycle parked next to a car.,H-up at a lake.
A pile of used wooden building materials with a chair on top.,Pile of wooden debris with chair on top.,A group of people down a horse with a metal.
A passenger train waiting at the city train station.,A passenger train with a yellow engine.,Two dogs children from a green.
A black train moves down the tracks.,A long train is on train tracks.,A black and white black standing in the street.
A Philips flat-screen TV is shown with its two remote controls.,A Phillips flat screen TV with two remote controls.,A bird is riding a mountain and a metal of people.
A cruise ship is in front of a docking area.,Calico cat sitting on step in front of a door.,A bird horse with a small white dog is singing with two.
A black and white cow standing in hay looks back at the camera.,There is a black and white sheep standing on the grass.,A small white dog with a red room with a green mouth.
Four people rowing down a river.,Four people row a canoe in water.,A cat is playing a pool.
A dark brown horse standing in a field.,A brown horse in a green field.,A white dog runs in the grass.
Two men talking in front of a plane.,Two men talking in front of a small plane.,Two men are playing a piano in a horse.
"two cats, one brown and one white laying on a bed with a blue blanket.","Two cats, one ginger, the other white laying on a bed.",The brown dog is running a black.
The train sits at the train station.,A train parked at a train station.,The white cat in the snow.
Two animals sitting on a rock.,The brown train is sitting on the railroad tracks.,Two men on a white black of a horse.
A black and white cow looking through the fence.,A black and white dog looking at the camera.,A black and white photo.
Two women in a clothing store.,Two women in a sailboat.,Two woman in a woman in a motorcycle.
Older gentleman looking at red motorcycle.,A man looking at a red motorcycle.,He to be at the couch.
Black and white cows grazing in a pen.,Two black and white cows drinking out of a pond.,a black dog is eating dog.
A small camouflaged airplane parked in the grass.,A small dog wearing a pink shirt tied to a railing.,A large little girl in the tracks.
A black and white photo of a love seat.,Black and white photo of couch with purse at one end.,A black and white and white photo of a red and white black and white and white.
Black bird standing on concrete.,Blue bird standing on green grass.,The tan is playing a guitar.
Crowd of people walking past a giant mushroom.,A group of four people walking past a giant mushroom.,C of people of people of a table of speech of a mountain.
A sheep beside a road and a lake.,A sheep is on the edge of a road with a lake and a mountain in the background.,Two striped in a table.
A group of people sit at a table in an Italian restaurant.,A group of six people sitting at a table with salad served.,A group of people are standing of a fence.
Tan cows look closely at the camera.,A white and grey cat in a bathroom sink looking at the camera.,I men for the air.
Older woman holding newborn baby.,a woman sitting on a sofa holding a baby.,"There decker, with many"
Two dogs play in the grass.,Two dogs playing in the snow.,Two dogs dogs in the grass.
Three people sit at a picnic table outside of a building painted like a union jack.,Three people sit at an outdoor table in front of a building painted like the Union Jack.,Three people sitting people are playing the camera.
A dog swims through the water.,A dog wearing a cape is running through the snow.,Two dogs play in the beach.
A young laughing girl and a boy are playing on a big drum.,A baby girl and little boy are standing next to a guitar and a drum.,A cat laying on a baby.
The brown dog runs on the snow with a white ball in his mouth.,Four dogs play in the snow with the city skyline behind them.,A dog in the grass.
A bird flies across the water.,A bird flies above the water.,A woman is slicing a field.
A dog is running through a pond,A pale dog is running along a dirt path.,A dog is eating in the camera.
A man and a woman watch two dogs.,A man in a maroon bathing suit swings on a rope on a lake.,A man and double a pan and woman are playing in the street.
A man sits by a dock looking at the water.,A man jumps off a rock into the water,A manours a potato of a motorcycle in a yellow.
A brown and white dog is running through the snow.,a brown and white dog is running on the grass.,A black and white and white and white dog running to the dirt with his is pe.
A man and a woman are standing in front of a building,Two girls are sitting on an ATV on the sand in front of a bridge.,A man people and woman and a man and jeans a boat black and a brick.
Three dolphins are jumping out of a pool in front of a crowd of people.,A man is giving a presentation in front of a lot of people.,Boy at an sitting in a pool horse.
The dog is running through a field.,A dog runs through a field.,The boy in front of the floor.
A black and white dog is jumping into the water.,a white dog runs across the water.,A black and woman standing on the camera of a room.
A tan and white dog retrieving a ball on a gravel path.,A large dog walks along a gravel path in the woods.,A girl and white cat black and white playing with a brown a pen.
A brown and white dog is walking up snowy steps.,A black and white dog frolics in the snow.,A dog running and white photo red shirt and singing.
A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.,The man in a blue jacket is standing in a crowd.,A woman in a sheep while in a field.
A dog running across the snow with a snowball in it's mouth.,A tan dog is running through the grass with a yellow toy in its mouth.,A dog in the United.
A small boy is building with some wooden blocks.,A small boy wearing a blue shirt stacks wooden blocks.,A monkey wearing man is playing a red.
A man and a woman walk with a white dog on a leash.,"A man, woman and dog walk down a paved road.","A man and woman in a brown, up a sheep."
A young boy wearing a red winter coat is eating and holding up a candy bar.,A young boy wearing a red coat eats a chocolate bar.,A young woman is singing.
Two racing dogs run in the mud.,The man is going into the water.,Two dogs are running in the snow.
"A young boy jumping into a pool that says ""no diving"".",A boy jumps into a pool while lifeguards watch.,A woman in a small blue into a black and woman in a silver of grass up a field.
Three dogs running in the dirt.,The yellow dog is running on the dirt road.,Two dogs are playing in the snow.
Four children on stools in a diner.,Four children sit on tall bar stools at a yellow and grey bar.,The men in a cat in the ground.
Boy and white dog running in grassy field,A boy and a dog running on grass,A black and white and white dog sitting on in the grass.
