input,reference_sentence,predicted_label
A yellow school bus parked in a field.,A brown horse in a green field.,A large white double decker bus in a street.
An elderly man works on his laptop at home.,Older gentleman sitting on couch with laptop.,A dog runs through the camera.
The cat is sitting on a bag of cat food.,Two eagles sitting on a long branch.,Three sheep standing on a yellow table.
A large pile of wooden items piled high.,A large pile of scrap wood.,A cat is swimming.
A woman riding a brown horse.,A girl riding a brown horse.,A woman is slicing riding a horse.
Black and white photo of a girl on a sofa.,a black and white photo of a cow under a tree.,A women a white picture.
A black dog stands next to materials at a construction site.,A black dog stands in the middle of a construction site.,A black dog spl of a large black dog is jumping.
Two women sitting in chairs in a shop.,Two women are sitting in a cafe.,Two man in a green grassy field.
A women painting a chair with a dining room in the background.,A man and boy walking along a beach with the sea in the background.,A women grazing in a pen a table in a black dog.
A cat sleeping on the coach with a pillow behind it.,The cat is laying on an animal print blanket.,A woman with a small airplane to a pool in a snow.
Two motorbikes racing on a dirt course.,two motorbikes on a dirt track.,Two men stand by a beach.
A young woman is riding a Bay hose in a dirt riding-ring.,A man is staring at a horse with a white mane.,A person up sitting near a black shirt to a blue blanket with a small onion.
A gray cat laying on a brown table.,A grey cat lying on a wooden table.,A cat jumping into white cat sleeping.
Motorcycle parked next to a car outside.,A motorcycle parked next to a car.,A double decker bus driving a field.
A pile of used wooden building materials with a chair on top.,Pile of wooden debris with chair on top.,Close on a table laying on a field.
A passenger train waiting at the city train station.,A passenger train with a yellow engine.,A small train tracks in the grass.
A black train moves down the tracks.,A long train is on train tracks.,A black and white cat looking at the ground.
A Philips flat-screen TV is shown with its two remote controls.,A Phillips flat screen TV with two remote controls.,A little boy in a small chair.
A cruise ship is in front of a docking area.,Calico cat sitting on step in front of a door.,A white airplane is laying on a street.
A black and white cow standing in hay looks back at the camera.,There is a black and white sheep standing on the grass.,a brown dog is standing in the snow.
Four people rowing down a river.,Four people row a canoe in water.,Four people people the people are sitting.
A dark brown horse standing in a field.,A brown horse in a green field.,A small child and white horse in green field.
Two men talking in front of a plane.,Two men talking in front of a small plane.,Two British tan water in a train.
"two cats, one brown and one white laying on a bed with a blue blanket.","Two cats, one ginger, the other white laying on a bed.","Two people are eating, a white cow standing in a beach."
The train sits at the train station.,A train parked at a train station.,The train parked.
Two animals sitting on a rock.,The brown train is sitting on the railroad tracks.,Two dirt playing in a game.
A black and white cow looking through the fence.,A black and white dog looking at the camera.,A black and white cat in a white cat sleeping.
Two women in a clothing store.,Two women in a sailboat.,Two women in a picture a field.
Older gentleman looking at red motorcycle.,A man looking at a red motorcycle.,H cows sitting at a small dog at the floor.
Black and white cows grazing in a pen.,Two black and white cows drinking out of a pond.,Two men in a white cat.
A small camouflaged airplane parked in the grass.,A small dog wearing a pink shirt tied to a railing.,A black and white cat laying in the road.
A black and white photo of a love seat.,Black and white photo of couch with purse at one end.,A black and white black and white photo stands in a black and white photo of a tree.
Black bird standing on concrete.,Blue bird standing on green grass.,It is up on tracks.
Crowd of people walking past a giant mushroom.,A group of four people walking past a giant mushroom.,Couple million down on a field.
A sheep beside a road and a lake.,A sheep is on the edge of a road with a lake and a mountain in the background.,A band is sitting on a large white dog.
A group of people sit at a table in an Italian restaurant.,A group of six people sitting at a table with salad served.,A group of people riding a table.
Tan cows look closely at the camera.,A white and grey cat in a bathroom sink looking at the camera.,Four sitting are fighting play at a couch.
Older woman holding newborn baby.,a woman sitting on a sofa holding a baby.,Taliban of the world elderly into a beach.
Two dogs play in the grass.,Two dogs playing in the snow.,Two dogs are playing in a beach.
Three people sit at a picnic table outside of a building painted like a union jack.,Three people sit at an outdoor table in front of a building painted like the Union Jack.,Two women a store at the camera-year-year a black shirt with a meeting.
A dog swims through the water.,A dog wearing a cape is running through the snow.,A dog is running on the water.
A young laughing girl and a boy are playing on a big drum.,A baby girl and little boy are standing next to a guitar and a drum.,A monkey is laying on a bike back on the camera.
The brown dog runs on the snow with a white ball in his mouth.,Four dogs play in the snow with the city skyline behind them.,A dog wearing black dog on a street.
A bird flies across the water.,A bird flies above the water.,A boy plays the green flying.
A dog is running through a pond,A pale dog is running along a dirt path.,A black dog runs through a dog runs a grass.
A man and a woman watch two dogs.,A man in a maroon bathing suit swings on a rope on a lake.,A woman is diving into a horse.
A man sits by a dock looking at the water.,A man jumps off a rock into the water,A man is riding a car.
A brown and white dog is running through the snow.,a brown and white dog is running on the grass.,A brown dog is running through the sky the snow.
A man and a woman are standing in front of a building,Two girls are sitting on an ATV on the sand in front of a bridge.,A man catches a metal of a black and a sofa.
Three dolphins are jumping out of a pool in front of a crowd of people.,A man is giving a presentation in front of a lot of people.,Three people are sitting in front of a stick in front of an obstacle of a large room area.
The dog is running through a field.,A dog runs through a field.,A dog runs through along a table.
A black and white dog is jumping into the water.,a white dog runs across the water.,Two black and white dog running on a beach.
A tan and white dog retrieving a ball on a gravel path.,A large dog walks along a gravel path in the woods.,A brown dog is running across a white dog.
A brown and white dog is walking up snowy steps.,A black and white dog frolics in the snow.,A brown and white dog is running in the grass in the river.
A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.,The man in a blue jacket is standing in a crowd.,A man in a stick in a blue road of a blue shirt and a brown horse standing in a brown dog.
A dog running across the snow with a snowball in it's mouth.,A tan dog is running through the grass with a yellow toy in its mouth.,A dog in the grassy.
A small boy is building with some wooden blocks.,A small boy wearing a blue shirt stacks wooden blocks.,A person is eating a banana.
A man and a woman walk with a white dog on a leash.,"A man, woman and dog walk down a paved road.",A man sits on a dog with a blue water and a sofa.
A young boy wearing a red winter coat is eating and holding up a candy bar.,A young boy wearing a red coat eats a chocolate bar.,A small boy stands is eating a stick in front of the camera.
Two racing dogs run in the mud.,The man is going into the water.,Two girls are dancing in the grass.
